Country,GDP
South Asia (IDA & IBRD),4.06285E+12
Sub-Saharan Africa (IDA & IBRD countries),1.93146E+12
Trinidad and Tobago,24496505941
Tunisia,46687293140
Turkiye,8.19865E+11
Tuvalu,60196405.71
Tanzania,70655628148
Uganda,40510241366
Ukraine,1.99766E+11
Upper middle income,2.85158E+13
Uruguay,61412268249
United States,2.33151E+13
Uzbekistan,69600614987
St. Vincent and the Grenadines,872222222.2
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),4444000000
Viet Nam,3.66138E+11
Vanuatu,971636097.9
World,9.71532E+13
Samoa,843923638.7
Kosovo,9412034299
"Yemen, Rep.",
South Africa,4.20118E+11
Zambia,22096416934
Zimbabwe,28371238666
